"ESTU","PROV","date","year_month","sex","age_group","sector_eu","sector_eu_without","education","indep","ideology","identity","income","work_sit_fact"
3113,8,2015-09-30,"2015-09",2,"60-64","Non-tradable sectors",NA,2,1,3,5,NA,"Retired"
3113,8,2015-09-30,"2015-09",1,"25-29","Non-tradable sectors",NA,4,0,5,3,6,"Currently working"
3113,8,2015-09-30,"2015-09",2,"65-69","Non-tradable sectors",NA,5,0,5,4,7,"Retired"
3113,8,2015-09-30,"2015-09",2,"40-44","Non-tradable sectors",NA,5,0,3,4,NA,"Unemployed"
3113,8,2015-09-30,"2015-09",1,"60-64","Non-tradable sectors",NA,5,NA,1,3,7,"Retired"
3113,8,2015-09-30,"2015-09",2,"35-39","Non-tradable sectors",NA,4,1,5,4,7,"Currently working"
3113,8,2015-09-30,"2015-09",2,"45-49","Export-oriented sectors","Export-oriented sectors",2,0,6,3,6,"Currently working"
3113,8,2015-09-30,"2015-09",1,"40-44","Export-oriented sectors","Export-oriented sectors",5,1,2,5,NA,"Currently working"
3113,8,2015-09-30,"2015-09",2,"60-64","Non-tradable sectors",NA,4,0,3,3,5,"Retired"
3113,8,2015-09-30,"2015-09",1,"18-24","Non-tradable sectors",NA,3,0,2,3,NA,NA
3113,8,2015-09-30,"2015-09",2,"40-44","Import-oriented sectors","Import-oriented sectors",4,NA,NA,3,NA,NA
3113,8,2015-09-30,"2015-09",2,"50-54","Non-tradable sectors",NA,2,1,1,5,NA,"Unemployed"
3113,8,2015-09-30,"2015-09",1,"60-64","Non-tradable sectors",NA,1,0,3,4,5,"Unemployed"
3113,8,2015-09-30,"2015-09",1,"65-69","Import-oriented sectors","Import-oriented sectors",4,0,3,4,NA,"Retired"
3113,8,2015-09-30,"2015-09",2,"25-29","Non-tradable sectors",NA,5,0,5,3,NA,"Currently working"
3113,8,2015-09-30,"2015-09",2,"55-59","Non-tradable sectors",NA,3,1,4,5,8,NA
3113,8,2015-09-30,"2015-09",2,"80+","Import-oriented sectors","Import-oriented sectors",1,0,6,1,NA,"Retired"
3113,8,2015-09-30,"2015-09",1,"35-39","Non-tradable sectors",NA,4,0,5,3,7,"Currently working"
3113,8,2015-09-30,"2015-09",2,"50-54","Non-tradable sectors",NA,3,1,3,5,4,"Unemployed"
3113,8,2015-09-30,"2015-09",1,"30-34","Non-tradable sectors",NA,5,0,2,3,10,"Currently working"
3113,8,2015-09-30,"2015-09",1,"30-34","Import-oriented sectors","Import-oriented sectors",5,1,5,4,NA,"Currently working"
3113,8,2015-09-30,"2015-09",2,"40-44","Non-tradable sectors",NA,3,0,7,3,5,"Currently working"
3113,8,2015-09-30,"2015-09",2,"60-64","Non-tradable sectors",NA,1,NA,NA,3,NA,"Retired"
3113,8,2015-09-30,"2015-09",1,"65-69","Export-oriented sectors","Export-oriented sectors",3,1,1,5,5,"Retired"
3113,8,2015-09-30,"2015-09",1,"35-39","Non-tradable sectors",NA,3,0,8,2,NA,"Currently working"
3113,8,2015-09-30,"2015-09",2,"50-54","Non-tradable sectors",NA,2,0,5,4,NA,"Unemployed"
3113,8,2015-09-30,"2015-09",2,"75-79","Import-oriented sectors","Import-oriented sectors",1,1,NA,5,6,"Retired"
3113,8,2015-09-30,"2015-09",1,"45-49","Non-tradable sectors",NA,2,1,4,4,5,"Unemployed"
3113,8,2015-09-30,"2015-09",2,"60-64","Non-tradable sectors",NA,1,NA,NA,3,NA,"Currently working"
